Region,Codigo region,Comuna,Codigo comuna,Poblacion,Semana Epidemiologica,Casos confirmados
Atacama,3,Tierra Amarilla,3103,14312.0,SE7,0.0
Atacama,3,Vallenar,3301,57009.0,SE7,0.0
Atacama,3,Desconocido Atacama,0,0.0,SE7,0.0
Aysén,11,Aysen,11201,25002.0,SE7,0.0
Aysén,11,Chile Chico,11401,5121.0,SE7,0.0
Aysén,11,Cisnes,11202,5828.0,SE7,0.0
Aysén,11,Cochrane,11301,3685.0,SE7,0.0
Aysén,11,Coyhaique,11101,61210.0,SE7,0.0
Aysén,11,Guaitecas,11203,1599.0,SE7,0.0
Aysén,11,Lago Verde,11102,920.0,SE7,0.0
Aysén,11,OHiggins,11302,661.0,SE7,0.0
Aysén,11,Rio Ibanez,11402,2699.0,SE7,0.0
Aysén,11,Tortel,11303,572.0,SE7,0.0
Aysén,11,Desconocido Aysen,0,0.0,SE7,0.0
Biobío,8,Alto Biobio,8314,6775.0,SE7,0.0
Biobío,8,Antuco,8302,4306.0,SE7,0.0
Biobío,8,Arauco,8202,38679.0,SE7,0.0
Biobío,8,Cabrero,8303,30725.0,SE7,0.0
Biobío,8,Canete,8203,37003.0,SE7,0.0
Biobío,8,Chiguayante,8103,91180.0,SE7,0.0
Biobío,8,Concepcion,8101,238092.0,SE7,0.0
Biobío,8,Contulmo,8204,6330.0,SE7,0.0
Biobío,8,Coronel,8102,125829.0,SE7,0.0
Biobío,8,Curanilahue,8205,33892.0,SE7,0.0
Biobío,8,Florida,8104,11841.0,SE7,0.0
Biobío,8,Hualpen,8112,97273.0,SE7,0.0
Biobío,8,Hualqui,8105,26201.0,SE7,0.0
Biobío,8,Laja,8304,23873.0,SE7,0.0
Biobío,8,Lebu,8201,27100.0,SE7,0.0
Biobío,8,Los Alamos,8206,22524.0,SE7,0.0
Biobío,8,Los Angeles,8301,218515.0,SE7,0.0
Biobío,8,Lota,8106,45750.0,SE7,0.0
Biobío,8,Mulchen,8305,31041.0,SE7,0.0
Biobío,8,Nacimiento,8306,27944.0,SE7,0.0
Biobío,8,Negrete,8307,10429.0,SE7,0.0
Biobío,8,Penco,8107,49865.0,SE7,0.0
Biobío,8,Quilaco,8308,4179.0,SE7,0.0
Biobío,8,Quilleco,8309,10032.0,SE7,0.0
Biobío,8,San Pedro de la Paz,8108,145906.0,SE7,0.0
Biobío,8,San Rosendo,8310,3611.0,SE7,0.0
Biobío,8,Santa Barbara,8311,14592.0,SE7,0.0
Biobío,8,Santa Juana,8109,14779.0,SE7,0.0
Biobío,8,Talcahuano,8110,158345.0,SE7,0.0
Biobío,8,Tirua,8207,11019.0,SE7,0.0
Biobío,8,Tome,8111,58729.0,SE7,0.0
Biobío,8,Tucapel,8312,15205.0,SE7,0.0
Biobío,8,Yumbel,8313,22132.0,SE7,0.0
Biobío,8,Desconocido Biobio,0,0.0,SE7,0.0
Coquimbo,4,Andacollo,4103,11791.0,SE7,0.0
Coquimbo,4,Canela,4202,9546.0,SE7,0.0
Coquimbo,4,Combarbala,4302,13884.0,SE7,0.0
Coquimbo,4,Coquimbo,4102,256735.0,SE7,0.0
Coquimbo,4,Illapel,4201,32801.0,SE7,0.0
Coquimbo,4,La Higuera,4104,4450.0,SE7,0.0
Coquimbo,4,La Serena,4101,249656.0,SE7,0.0
Coquimbo,4,Los Vilos,4203,23374.0,SE7,0.0
Coquimbo,4,Monte Patria,4303,32527.0,SE7,0.0
Coquimbo,4,Ovalle,4301,121269.0,SE7,0.0
Coquimbo,4,Paiguano,4105,4675.0,SE7,0.0
Coquimbo,4,Punitaqui,4304,12165.0,SE7,0.0
Coquimbo,4,Rio Hurtado,4305,4372.0,SE7,0.0
Coquimbo,4,Salamanca,4204,29110.0,SE7,0.0
Coquimbo,4,Vicuna,4106,29741.0,SE7,0.0
Coquimbo,4,Desconocido Coquimbo,0,0.0,SE7,0.0
Los Lagos,10,Ancud,10202,42458.0,SE7,0.0
Los Lagos,10,Calbuco,10102,36744.0,SE7,0.0
Los Lagos,10,Castro,10201,47607.0,SE7,0.0
Los Lagos,10,Chaiten,10401,5020.0,SE7,0.0
Los Lagos,10,Chonchi,10203,16013.0,SE7,0.0
Los Lagos,10,Cochamo,10103,4006.0,SE7,0.0
Los Lagos,10,Curaco de Velez,10204,4066.0,SE7,0.0
Los Lagos,10,Dalcahue,10205,15069.0,SE7,0.0
Los Lagos,10,Fresia,10104,12656.0,SE7,0.0
Los Lagos,10,Frutillar,10105,20223.0,SE7,0.0
Los Lagos,10,Futaleufu,10402,2806.0,SE7,0.0
Los Lagos,10,Hualaihue,10403,9525.0,SE7,0.0
Los Lagos,10,Llanquihue,10107,18621.0,SE7,0.0
Los Lagos,10,Los Muermos,10106,17817.0,SE7,0.0
Los Lagos,10,Maullin,10108,14894.0,SE7,0.0
Los Lagos,10,Osorno,10301,173410.0,SE7,0.0
Los Lagos,10,Palena,10404,1827.0,SE7,0.0
Los Lagos,10,Puerto Montt,10101,269398.0,SE7,0.0
Los Lagos,10,Puerto Octay,10302,9192.0,SE7,0.0
Los Lagos,10,Puerto Varas,10109,48620.0,SE7,0.0
Los Lagos,10,Puqueldon,10206,4201.0,SE7,0.0
Los Lagos,10,Purranque,10303,21080.0,SE7,0.0
Los Lagos,10,Puyehue,10304,11787.0,SE7,0.0
Los Lagos,10,Queilen,10207,5543.0,SE7,0.0
Los Lagos,10,Quellon,10208,29309.0,SE7,0.0
Los Lagos,10,Quemchi,10209,8783.0,SE7,0.0
Los Lagos,10,Quinchao,10210,8298.0,SE7,0.0
Los Lagos,10,Rio Negro,10305,14275.0,SE7,0.0
Los Lagos,10,San Juan de la Costa,10306,7639.0,SE7,0.0
Los Lagos,10,San Pablo,10307,10553.0,SE7,0.0
Los Lagos,10,Desconocido Los Lagos,0,0.0,SE7,0.0
Los Ríos,14,Corral,14102,5447.0,SE7,0.0
Los Ríos,14,Futrono,14202,15261.0,SE7,0.0
Los Ríos,14,La Union,14201,39538.0,SE7,0.0
Los Ríos,14,Lago Ranco,14203,10292.0,SE7,0.0
Los Ríos,14,Lanco,14103,17652.0,SE7,0.0
Los Ríos,14,Los Lagos,14104,20518.0,SE7,0.0
Los Ríos,14,Mafil,14105,7389.0,SE7,0.0
Los Ríos,14,Mariquina,14106,23250.0,SE7,0.0
Los Ríos,14,Paillaco,14107,20798.0,SE7,0.0
Los Ríos,14,Panguipulli,14108,35991.0,SE7,0.0
Los Ríos,14,Rio Bueno,14204,32925.0,SE7,0.0
Los Ríos,14,Valdivia,14101,176774.0,SE7,0.0
Los Ríos,14,Desconocido Los Rios,0,0.0,SE7,0.0
Magallanes,12,Antartica,12202,137.0,SE7,0.0
Magallanes,12,Cabo de Hornos,12201,1983.0,SE7,0.0
Magallanes,12,Laguna Blanca,12102,264.0,SE7,0.0
Magallanes,12,Natales,12401,23782.0,SE7,0.0
Magallanes,12,Porvenir,12301,7323.0,SE7,0.0
Magallanes,12,Primavera,12302,694.0,SE7,0.0
Magallanes,12,Punta Arenas,12101,141984.0,SE7,0.0
Magallanes,12,Rio Verde,12103,211.0,SE7,0.0
Magallanes,12,San Gregorio,12104,681.0,SE7,0.0
Magallanes,12,Timaukel,12303,282.0,SE7,0.0
Magallanes,12,Torres del Paine,12402,1021.0,SE7,0.0
Magallanes,12,Desconocido Magallanes,0,0.0,SE7,0.0
Maule,7,Cauquenes,7201,44143.0,SE7,0.0
Maule,7,Chanco,7202,9331.0,SE7,0.0
Maule,7,Colbun,7402,22565.0,SE7,0.0
Maule,7,Constitucion,7102,50348.0,SE7,0.0
Maule,7,Curepto,7103,9426.0,SE7,0.0
Maule,7,Curico,7301,163626.0,SE7,0.0
Maule,7,Empedrado,7104,4206.0,SE7,0.0
Maule,7,Hualane,7302,10222.0,SE7,0.0
Maule,7,Licanten,7303,6989.0,SE7,0.0
Maule,7,Linares,7401,101073.0,SE7,0.0
Maule,7,Longavi,7403,32810.0,SE7,0.0
Maule,7,Maule,7105,60000.0,SE7,0.0
Maule,7,Molina,7304,49800.0,SE7,0.0
Maule,7,Parral,7404,44544.0,SE7,0.0
Maule,7,Pelarco,7106,9083.0,SE7,0.0
Maule,7,Pelluhue,7203,8092.0,SE7,0.0
Maule,7,Pencahue,7107,8601.0,SE7,0.0
Maule,7,Rauco,7305,11248.0,SE7,0.0
Maule,7,Retiro,7405,21071.0,SE7,0.0
Maule,7,Rio Claro,7108,14753.0,SE7,0.0
Maule,7,Romeral,7306,16170.0,SE7,0.0
Maule,7,Sagrada Familia,7307,19469.0,SE7,0.0
Maule,7,San Clemente,7109,46292.0,SE7,0.0
Maule,7,San Javier,7406,49451.0,SE7,0.0
Maule,7,San Rafael,7110,9959.0,SE7,0.0
Maule,7,Talca,7101,236724.0,SE7,0.0
Maule,7,Teno,7308,30850.0,SE7,0.0
Maule,7,Vichuquen,7309,4381.0,SE7,0.0
Maule,7,Villa Alegre,7407,17512.0,SE7,0.0
Maule,7,Yerbas Buenas,7408,19200.0,SE7,0.0
Maule,7,Desconocido Maule,0,0.0,SE7,0.0
Metropolitana,13,Alhue,13502,7405.0,SE7,0.0
Metropolitana,13,Buin,13402,109641.0,SE7,0.0
Metropolitana,13,Calera de Tango,13403,28525.0,SE7,0.0
Metropolitana,13,Cerrillos,13102,88956.0,SE7,0.0
Metropolitana,13,Cerro Navia,13103,142465.0,SE7,0.0
Metropolitana,13,Colina,13301,180353.0,SE7,0.0
Metropolitana,13,Conchali,13104,139195.0,SE7,0.0
Metropolitana,13,Curacavi,13503,36430.0,SE7,0.0
Metropolitana,13,El Bosque,13105,172000.0,SE7,0.0
Metropolitana,13,El Monte,13602,40014.0,SE7,0.0
Metropolitana,13,Estacion Central,13106,206792.0,SE7,0.0
Metropolitana,13,Huechuraba,13107,112528.0,SE7,0.0
Metropolitana,13,Independencia,13108,142065.0,SE7,0.0
Metropolitana,13,Isla de Maipo,13603,40171.0,SE7,0.0
Metropolitana,13,La Cisterna,13109,100434.0,SE7,0.0
Metropolitana,13,La Florida,13110,402433.0,SE7,0.0
