Region,Codigo region,Comuna,Codigo comuna,Poblacion,Fecha,Casos fallecidos
Metropolitana,13.0,Lampa,13302.0,126898.0,2020-06-12,18.0
Metropolitana,13.0,Las Condes,13114.0,330759.0,2020-06-12,94.0
Metropolitana,13.0,Lo Barnechea,13115.0,124076.0,2020-06-12,19.0
Metropolitana,13.0,Lo Espejo,13116.0,103865.0,2020-06-12,55.0
Metropolitana,13.0,Lo Prado,13117.0,104403.0,2020-06-12,45.0
Metropolitana,13.0,Macul,13118.0,134635.0,2020-06-12,48.0
Metropolitana,13.0,Maipu,13119.0,578605.0,2020-06-12,113.0
Metropolitana,13.0,Maria Pinto,13504.0,14926.0,2020-06-12,1.0
Metropolitana,13.0,Melipilla,13501.0,141612.0,2020-06-12,24.0
Metropolitana,13.0,Nunoa,13120.0,250192.0,2020-06-12,65.0
Metropolitana,13.0,Padre Hurtado,13604.0,74188.0,2020-06-12,16.0
Metropolitana,13.0,Paine,13404.0,82766.0,2020-06-12,5.0
Metropolitana,13.0,Pedro Aguirre Cerda,13121.0,107803.0,2020-06-12,48.0
Metropolitana,13.0,Penaflor,13605.0,101058.0,2020-06-12,21.0
Metropolitana,13.0,Penalolen,13122.0,266798.0,2020-06-12,93.0
Metropolitana,13.0,Pirque,13202.0,30433.0,2020-06-12,1.0
Metropolitana,13.0,Providencia,13123.0,157749.0,2020-06-12,53.0
Metropolitana,13.0,Pudahuel,13124.0,253139.0,2020-06-12,68.0
Metropolitana,13.0,Puente Alto,13201.0,645909.0,2020-06-12,156.0
Metropolitana,13.0,Quilicura,13125.0,254694.0,2020-06-12,47.0
Metropolitana,13.0,Quinta Normal,13126.0,136368.0,2020-06-12,57.0
Metropolitana,13.0,Recoleta,13127.0,190075.0,2020-06-12,106.0
Metropolitana,13.0,Renca,13128.0,160847.0,2020-06-12,55.0
Metropolitana,13.0,San Bernardo,13401.0,334836.0,2020-06-12,91.0
Metropolitana,13.0,San Joaquin,13129.0,103485.0,2020-06-12,55.0
Metropolitana,13.0,San Jose de Maipo,13203.0,18644.0,2020-06-12,14.0
Metropolitana,13.0,San Miguel,13130.0,133059.0,2020-06-12,47.0
Metropolitana,13.0,San Pedro,13505.0,11953.0,2020-06-12,2.0
Metropolitana,13.0,San Ramon,13131.0,86510.0,2020-06-12,71.0
Metropolitana,13.0,Santiago,13101.0,503147.0,2020-06-12,105.0
Metropolitana,13.0,Talagante,13601.0,81838.0,2020-06-12,9.0
Metropolitana,13.0,Tiltil,13303.0,21477.0,2020-06-12,3.0
Metropolitana,13.0,Vitacura,13132.0,96774.0,2020-06-12,14.0
Metropolitana,13.0,Desconocido Metropolitana,,,2020-06-12,
Metropolitana,13.0,Total,,8125072.0,2020-06-12,2473.0
Del Libertador General Bernardo O’Higgins,6.0,Chepica,6302.0,15925.0,2020-06-12,0.0
Del Libertador General Bernardo O’Higgins,6.0,Chimbarongo,6303.0,37696.0,2020-06-12,1.0
Del Libertador General Bernardo O’Higgins,6.0,Codegua,6102.0,14096.0,2020-06-12,0.0
Del Libertador General Bernardo O’Higgins,6.0,Coinco,6103.0,7831.0,2020-06-12,1.0
Del Libertador General Bernardo O’Higgins,6.0,Coltauco,6104.0,21263.0,2020-06-12,1.0
Del Libertador General Bernardo O’Higgins,6.0,Donihue,6105.0,22700.0,2020-06-12,2.0
Del Libertador General Bernardo O’Higgins,6.0,Graneros,6106.0,36504.0,2020-06-12,1.0
Del Libertador General Bernardo O’Higgins,6.0,La Estrella,6202.0,3114.0,2020-06-12,0.0
Del Libertador General Bernardo O’Higgins,6.0,Las Cabras,6107.0,26749.0,2020-06-12,0.0
Del Libertador General Bernardo O’Higgins,6.0,Litueche,6203.0,6765.0,2020-06-12,1.0
Del Libertador General Bernardo O’Higgins,6.0,Lolol,6304.0,7289.0,2020-06-12,0.0
Del Libertador General Bernardo O’Higgins,6.0,Machali,6108.0,59913.0,2020-06-12,2.0
Del Libertador General Bernardo O’Higgins,6.0,Malloa,6109.0,14163.0,2020-06-12,0.0
Del Libertador General Bernardo O’Higgins,6.0,Marchihue,6204.0,7632.0,2020-06-12,0.0
Del Libertador General Bernardo O’Higgins,6.0,Mostazal,6110.0,27462.0,2020-06-12,2.0
Del Libertador General Bernardo O’Higgins,6.0,Nancagua,6305.0,19141.0,2020-06-12,0.0
Del Libertador General Bernardo O’Higgins,6.0,Navidad,6205.0,6904.0,2020-06-12,0.0
Del Libertador General Bernardo O’Higgins,6.0,Olivar,6111.0,14624.0,2020-06-12,1.0
Del Libertador General Bernardo O’Higgins,6.0,Palmilla,6306.0,13299.0,2020-06-12,0.0
Del Libertador General Bernardo O’Higgins,6.0,Paredones,6206.0,6349.0,2020-06-12,0.0
Del Libertador General Bernardo O’Higgins,6.0,Peralillo,6307.0,11848.0,2020-06-12,0.0
Del Libertador General Bernardo O’Higgins,6.0,Peumo,6112.0,14952.0,2020-06-12,0.0
Del Libertador General Bernardo O’Higgins,6.0,Pichidegua,6113.0,20743.0,2020-06-12,0.0
Del Libertador General Bernardo O’Higgins,6.0,Pichilemu,6201.0,17882.0,2020-06-12,0.0
Del Libertador General Bernardo O’Higgins,6.0,Placilla,6308.0,9164.0,2020-06-12,0.0
Del Libertador General Bernardo O’Higgins,6.0,Pumanque,6309.0,3531.0,2020-06-12,0.0
Del Libertador General Bernardo O’Higgins,6.0,Quinta de Tilcoco,6114.0,13877.0,2020-06-12,0.0
Del Libertador General Bernardo O’Higgins,6.0,Rancagua,6101.0,265211.0,2020-06-12,11.0
Del Libertador General Bernardo O’Higgins,6.0,Rengo,6115.0,63710.0,2020-06-12,0.0
Del Libertador General Bernardo O’Higgins,6.0,Requinoa,6116.0,30371.0,2020-06-12,0.0
Del Libertador General Bernardo O’Higgins,6.0,San Fernando,6301.0,78642.0,2020-06-12,2.0
Del Libertador General Bernardo O’Higgins,6.0,San Vicente,6117.0,50617.0,2020-06-12,1.0
Del Libertador General Bernardo O’Higgins,6.0,Santa Cruz,6310.0,41096.0,2020-06-12,1.0
Del Libertador General Bernardo O’Higgins,6.0,Desconocido O’Higgins,,,2020-06-12,
Del Libertador General Bernardo O’Higgins,6.0,Total,,991063.0,2020-06-12,27.0
Maule,7.0,Cauquenes,7201.0,44143.0,2020-06-12,2.0
Maule,7.0,Chanco,7202.0,9331.0,2020-06-12,0.0
Maule,7.0,Colbun,7402.0,22565.0,2020-06-12,0.0
Maule,7.0,Constitucion,7102.0,50348.0,2020-06-12,0.0
Maule,7.0,Curepto,7103.0,9426.0,2020-06-12,1.0
Maule,7.0,Curico,7301.0,163626.0,2020-06-12,4.0
Maule,7.0,Empedrado,7104.0,4206.0,2020-06-12,0.0
Maule,7.0,Hualane,7302.0,10222.0,2020-06-12,1.0
Maule,7.0,Licanten,7303.0,6989.0,2020-06-12,0.0
Maule,7.0,Linares,7401.0,101073.0,2020-06-12,1.0
Maule,7.0,Longavi,7403.0,32810.0,2020-06-12,0.0
Maule,7.0,Maule,7105.0,60000.0,2020-06-12,0.0
Maule,7.0,Molina,7304.0,49800.0,2020-06-12,1.0
Maule,7.0,Parral,7404.0,44544.0,2020-06-12,0.0
Maule,7.0,Pelarco,7106.0,9083.0,2020-06-12,0.0
Maule,7.0,Pelluhue,7203.0,8092.0,2020-06-12,0.0
Maule,7.0,Pencahue,7107.0,8601.0,2020-06-12,0.0
Maule,7.0,Rauco,7305.0,11248.0,2020-06-12,0.0
Maule,7.0,Retiro,7405.0,21071.0,2020-06-12,0.0
Maule,7.0,Rio Claro,7108.0,14753.0,2020-06-12,2.0
Maule,7.0,Romeral,7306.0,16170.0,2020-06-12,0.0
Maule,7.0,Sagrada Familia,7307.0,19469.0,2020-06-12,0.0
Maule,7.0,San Clemente,7109.0,46292.0,2020-06-12,1.0
Maule,7.0,San Javier,7406.0,49451.0,2020-06-12,0.0
Maule,7.0,San Rafael,7110.0,9959.0,2020-06-12,0.0
Maule,7.0,Talca,7101.0,236724.0,2020-06-12,3.0
Maule,7.0,Teno,7308.0,30850.0,2020-06-12,1.0
Maule,7.0,Vichuquen,7309.0,4381.0,2020-06-12,0.0
